호선명,지하철역,무임승차인원,무임하차인원,작업일자
4호선,혜화,147378,146826,20190603
4호선,동작(현충원),25184,25285,20190603
4호선,총신대입구(이수),166187,172893,20190603
4호선,창동,220784,227189,20190603
4호선,신용산,56697,56692,20190603
4호선,동대문역사문화공원,69101,62653,20190603
4호선,상계,130257,127896,20190603
4호선,충무로,136111,137484,20190603
4호선,미아사거리,205293,202321,20190603
4호선,쌍문,187087,182508,20190603
4호선,숙대입구(갈월),62064,57669,20190603
4호선,이촌(국립중앙박물관),57217,61015,20190603
4호선,남태령,10083,9148,20190603
4호선,사당,104554,106738,20190603
4호선,명동,79951,82312,20190603
4호선,미아(서울사이버대학),134693,133140,20190603
4호선,서울역,45834,60659,20190603
4호선,동대문,180880,166248,20190603
4호선,당고개,106582,105030,20190603
4호선,삼각지,28741,30764,20190603
4호선,수유(강북구청),229974,229697,20190603
3호선,잠원,42735,41463,20190603
3호선,수서,116791,113359,20190603
3호선,구파발,129985,123044,20190603
3호선,안국,109043,114580,20190603
3호선,옥수,66681,66832,20190603
3호선,동대입구,44865,48952,20190603
3호선,학여울,16236,15915,20190603
3호선,종로3가,69238,77927,20190603
3호선,금호,62013,60599,20190603
3호선,녹번,78045,75924,20190603
3호선,지축,12371,15088,20190603
3호선,경복궁(정부서울청사),111416,102405,20190603
3호선,신사,80613,77879,20190603
3호선,대청,60677,58025,20190603
3호선,연신내,302867,293167,20190603
3호선,남부터미널(예술의전당),139646,140000,20190603
3호선,경찰병원,46162,47134,20190603
3호선,매봉,64143,58127,20190603
3호선,대치,68064,65351,20190603
3호선,일원,69728,71093,20190603
3호선,무악재,34398,36573,20190603
3호선,약수,94726,91418,20190603
3호선,압구정,164464,163817,20190603
3호선,가락시장,82347,80234,20190603
3호선,홍제,164105,162338,20190603
3호선,도곡,29341,26612,20190603
3호선,불광,163089,180621,20190603
3호선,고속터미널,210770,201605,20190603
3호선,충무로,3,0,20190603
3호선,교대(법원.검찰청),77224,47458,20190603
3호선,독립문,88515,89213,20190603
3호선,오금,32149,30231,20190603
3호선,양재(서초구청),182992,185709,20190603
3호선,을지로3가,62612,61375,20190603
2호선,당산,77698,83271,20190603
2호선,왕십리(성동구청),64527,54497,20190603
2호선,서초,96652,96486,20190603
2호선,용답,18872,18272,20190603
2호선,역삼,174383,177850,20190603
2호선,을지로3가,96041,94877,20190603
2호선,구의(광진구청),116901,117767,20190603
2호선,한양대,17421,18934,20190603
2호선,충정로(경기대입구),55217,55473,20190603
2호선,을지로4가,97370,92916,20190603
2호선,신당,110881,113045,20190603
2호선,성수,114884,116456,20190603
2호선,합정,80127,80955,20190603
2호선,신정네거리,75713,77460,20190603
2호선,신설동,39442,40385,20190603
2호선,강변(동서울터미널),160160,155742,20190603
2호선,을지로입구,122625,113191,20190603
2호선,교대(법원.검찰청),178269,199422,20190603
2호선,낙성대,124433,126274,20190603
2호선,용두(동대문구청),25056,26346,20190603
2호선,문래,92490,91266,20190603
2호선,신도림,234895,223466,20190603
2호선,아현,72327,71743,20190603
2호선,양천구청,52893,53877,20190603
2호선,건대입구,105074,109681,20190603
2호선,서울대입구(관악구청),222610,213945,20190603
2호선,봉천,166938,167409,20190603
2호선,방배,88906,88095,20190603
2호선,시청,65213,60288,20190603
2호선,이대,70155,71058,20190603
2호선,상왕십리,74458,74948,20190603
우이신설선,4.19민주묘지,35103,32252,20190603
6호선,합정,47855,42800,20190603
2호선,잠실나루,98291,98961,20190603
2호선,영등포구청,111145,109291,20190603
2호선,신림,266618,270264,20190603
2호선,홍대입구,122634,119350,20190603
2호선,동대문역사문화공원,66155,70818,20190603
2호선,사당,229867,219309,20190603
2호선,종합운동장,67352,71812,20190603
2호선,신촌,152993,150842,20190603
2호선,신답,11312,12157,20190603
2호선,잠실(송파구청),233044,219947,20190603
2호선,강남,192979,172755,20190603
2호선,신대방,146907,148117,20190603
2호선,구로디지털단지,194678,197938,20190603
2호선,선릉,234778,207100,20190603
2호선,뚝섬,68993,69296,20190603
2호선,잠실새내,122023,121641,20190603
2호선,삼성(무역센터),134802,127716,20190603
2호선,대림(구로구청),130273,134965,20190603
2호선,도림천,7857,8530,20190603
1호선,동묘앞,171004,173844,20190603
1호선,제기동,353695,375436,20190603
1호선,동대문,151904,158360,20190603
1호선,시청,112279,112016,20190603
1호선,종로5가,307515,295535,20190603
1호선,신설동,131597,126524,20190603
1호선,청량리(서울시립대입구),336216,341637,20190603
1호선,종각,176083,164915,20190603
1호선,종로3가,408682,382809,20190603
